,Sample ID,Sample Name,Lab Name,Date Received,Date Completed,Strain,Category,Type,Pass/fail?,Fail Reason,Active,Regulator ID,Regulator Batch ID,Regulator Batch ID 2,Regulator Lot ID,Regulator Pre-Transfer ID,Batch ID,Batch Size,Batch Size Unit,Lot ID,Lot Size,Lot Size Unit,Harvest ID,Production Date,Manifest ID,Production Run ID,Units Per Serving,Servings Per Container,Unit Description,Container Description,cannabinoids_thca,cannabinoids_thcv,cannabinoids_cannabinoids_unit,cannabinoids_cbda,cannabinoids_cbga,cannabinoids_cbn,cannabinoids_cbdva,cannabinoids_cbd,cannabinoids_vitamin_e_acetate,cannabinoids_cbdv,cannabinoids_cbc,cannabinoids_d8_thc,cannabinoids_cbg,cannabinoids_d9_thc,cannabinoids_cbl,pesticides_daminozide,pesticides_mgk_264,pesticides_etoxazole,pesticides_methiocarb,pesticides_ethoprophos,pesticides_fludioxonil,pesticides_chlorpyrifos,pesticides_chlorantraniliprole,pesticides_clofentezine,pesticides_diazinon,pesticides_pyrethrins,pesticides_fipronil,pesticides_spiroxamine,pesticides_phosmet,pesticides_kresoxim_methyl,pesticides_etofenprox,pesticides_azoxystrobin,pesticides_dimethoate,pesticides_permethrins,pesticides_fenoxycarb,pesticides_methyl_parathion,pesticides_piperonyl_butoxide,pesticides_metalaxyl,pesticides_bifenazate,pesticides_hexythiazox,pesticides_abamectin,pesticides_paclobutrazol,pesticides_tebuconazole,pesticides_methomyl,pesticides_malathion,pesticides_prallethrin,pesticides_pyridaben,pesticides_cyfluthrin,pesticides_bifenthrin,pesticides_myclobutanil,pesticides_pesticides_unit,pesticides_acetamiprid,pesticides_imazalil,pesticides_spinosad,pesticides_fenpyroximate,pesticides_aldicarb,pesticides_boscalid,pesticides_cypermethrin,pesticides_oxamyl,pesticides_spiromesifen,pesticides_propiconazole,pesticides_chlorfenapyr,pesticides_trifloxystrobin,pesticides_thiamethoxam,pesticides_acephate,pesticides_carbaryl,pesticides_propoxur,pesticides_acequinocyl,pesticides_flonicamid,pesticides_thiacloprid,pesticides_dichlorvos,pesticides_imidacloprid,pesticides_naled,pesticides_spirotetramat,pesticides_carbofuran,microbials_aspergillus,microbials_coliforms,microbials_salmonella,microbials_aerobic_bacteria,microbials_ecoli,microbials_btgn_bacteria,microbials_yeast_and_mold,microbials_microbials_unit,solvents_propane,solvents_hexanes,solvents_chloroform,solvents_heptane,solvents_methylene_chloride,solvents_ethylene_oxide,solvents_trichloroethene,solvents_isopropanol,solvents_ethyl_ether,solvents_pentane,solvents_toluene,solvents_xylenes,solvents_butane,solvents_methanol,solvents_acetonitrile,solvents_ethyl_acetate,solvents_benzene,solvents_solvents_unit,solvents_acetone,solvents_1_2_dichloro_ethane,solvents_ethanol,terpenes_3_carene,terpenes_alpha_bisabolol,terpenes_alpha_pinene,terpenes_eucalyptol,terpenes_alpha_terpinene,terpenes_geraniol,terpenes_guaiol,terpenes_beta_pinene,terpenes_beta_myrcene,terpenes_fenchol,terpenes_isoborneol,terpenes_menthol,terpenes_caryophyllene_oxide,terpenes_ocimene,terpenes_citronellol,terpenes_eugenol,terpenes_ro_cymene,terpenes_camphene,terpenes_beta_caryophyllene,terpenes_alpha_humulene,terpenes_terpinolene,terpenes_trans_nerolidol,terpenes_geranyl_acetate,terpenes_gamma_terpinene,terpenes_alpha_phellandrene,terpenes_beta_ocimene,terpenes_terpenes_unit,terpenes_isopulegol,terpenes_cis_nerolidol,terpenes_linalool,terpenes_fenchone,terpenes_delta_limonene,moisture_percent_moisture,moisture_moisture_unit,homogeneity_homogeneity,homogeneity_homogeneity_unit,water_activity_water_activity_unit,water_activity_water_activity,metals_nickel,metals_chromium,metals_metals_unit,metals_mercury,metals_cadmium,metals_lead,metals_copper,metals_arsenic,foreign_matter_foreign_matter_unit,foreign_matter_other,foreign_matter_stems,foreign_matter_pests,Classification,Production Method,solvents_n_butane,solvents_2_methylpentane,solvents_heptanes,solvents_o_xylene,solvents_1_pentanol,solvents_n_hexane,solvents_ethylene_glycol,solvents_dimethyl_sulfoxide,solvents_n_pentane,solvents_p_xylene,solvents_2_butanol,solvents_pentanes,solvents_1_2_dimethoxy_ethane,solvents_2_3_dimethyl_butane,solvents_2_ethoxyethanol,solvents_cyclohexane,solvents_n_n_dimethylfromamide,solvents_1_propanol,solvents_2_butanone,solvents_3_methylpentane,solvents_1_butanol,solvents_butanes,solvents_ethyl_benzene,solvents_n_n_dimethylacetamide,solvents_tetrahydrofuran,solvents_2_2_dimethyl_butane,solvents_pyridine,solvents_isopentane,solvents_cumene,solvents_iso_butane,solvents_1_4_dioxane,cannabinoids_total,terpenes_total,"
"
0,BC-20-CS-2766,Wedding Cake,Viridis Labs,07/01/2020,07/03/2020,"Wedding Cake
",Plant,Flower - Cured,Passed,,,1A4050100001E15000002282,1A4050100001E15000002264,,,,,,,,,,,,,,,,,,14.5%,,,0.0%,,0.0%,,0.0%,,,,,,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BC-20-CS-2767,Orange Cream,Viridis Labs,07/01/2020,07/03/2020,"Orange Cream
",Plant,Flower - Cured,Passed,,,1A4050100001E15000002283,1A4050100001E15000002267,,,,,,,,,,,,,,,,,,15.2%,,,0.0%,,0.0%,,0.0%,,,,,,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BC-20-CS-2785,Jenny Kush,Viridis Labs,07/01/2020,07/03/2020,"Jenny Kush
",Plant,Flower - Cured,Passed,,,1A4050300007469000000058,1A4050300007469000000055,,,,,,,,,,,,,,,,,,25.9%,,,0.1%,,0.1%,,0.0%,,,,,,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BC-20-CS-3089,Wedding Cake,Viridis Labs,07/15/2020,07/22/2020,"Wedding Cake
",Plant,Flower - Cured,Passed,,,1A4050300007469000000142,1A4050300007469000000127,,,,,,,,,,,,,,,,,,13.4%,,,0.0%,,0.0%,,0.0%,,,,,,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0%,,,0.0%,,0.1%,0.1%,,,,,0.0%,,,0.0%,,0.0%,0.0%,0.0%,,,,,2 0.2%,,0.0%,,0.0%,,0.0%,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BC-20-CS-3090,Wedding Cake,Viridis Labs,07/15/2020,07/22/2020,"Wedding Cake
",Plant,Flower - Cured,Passed,,,1A4050300007469000000143,1A4050300007469000000111,,,,,,,,,,,,,,,,,,13.3%,,,0.0%,,0.0%,,0.0%,,,,,,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0.0%,,0.1%,,,0.0%,,0.1%,0.1%,,,,,0.0%,,,0.0%,,0.0%,0.0%,0.0%,,,,,2 0.0%,,0.0%,,0.0%,,0.4%,,,,,,0.55,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BC-20-CS-3091,Wedding Cake,Viridis Labs,07/15/2020,07/22/2020,"Wedding Cake
",Plant,Flower - Cured,Passed,,,1A4050300007469000000144,1A4050300007469000000126,,,,,,,,,,,,,,,,,,13.9%,,,0.0%,,0.0%,,0.0%,,,,,,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0%,,,0.0%,,0.1%,0.1%,,,,,0.0%,,,0.0%,,0.0%,0.0%,0.0%,,,,,2 0.0%,,0.0%,,0.0%,,0.2%,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BC-20-CS-3092,Wedding Cake,Viridis Labs,07/15/2020,07/22/2020,"Wedding Cake
",Plant,Flower - Cured,Passed,,,1A4050300007469000000145,1A4050300007469000000125,,,,,,,,,,,,,,,,,,14.9%,,,0.0%,,0.0%,,0.0%,,,,,,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0%,,,0.0%,,0.1%,0.1%,,,,,0.0%,,,0.0%,,0.0%,0.0%,0.0%,,,,,2 0.0%,,0.0%,,0.0%,,0.2%,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BC-20-CS-3093,Bloodstar,Viridis Labs,07/15/2020,07/22/2020,,Plant,Flower - Cured,Passed,,,1A4050100002CF1000000481,1A4050100002CF1000000469,,,,,,,,,,,,,,,,,,15.4%,,,0.1%,,0.0%,,0.0%,,,,,,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0%,,,0.0%,,0.0%,0.3%,,,,,0.0%,,,0.0%,,0.0%,0.0%,0.0%,,,,,2 0.0%,,0.0%,,0.0%,,0.1%,,,,,,0.56,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BC-20-CS-3094,Dosi Do,Viridis Labs,07/15/2020,07/22/2020,,Plant,Flower - Cured,Passed,,,1A4050100002CF1000000482,1A4050100002CF1000000464,,,,,,,,,,,,,,,,,,15.3%,,,0.0%,,0.0%,,0.0%,,,,,,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0%,,,0.0%,,0.0%,0.1%,,,,,0.0%,,,0.0%,,0.0%,0.0%,0.0%,,,,,2 0.0%,,0.0%,,0.0%,,0.2%,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BC-20-CS-3241,Bloodstar,Viridis Labs,07/22/2020,07/27/2020,,Plant,Flower - Cured,Passed,,,1A4050100001E15000002397,1A4050100001E15000002384,,,,,,,,,,,,,,,,,,15.6%,,,0.1%,,0.0%,,0.0%,,,,,,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0%,,,0.0%,,0.0%,0.3%,,,,,0.0%,,,0.0%,,0.0%,0.0%,0.0%,,,,,2 0.0%,,0.0%,,0.0%,,0.1%,,,,,,0.551,0.780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
